Slant,StraightnessError,HorizontalSize,StartHorizontalPosition,PeakVerticalAcceleration,PeakVerticalVelocity,VerticalSize,StartVerticalPosition,Duration,StartTime,RelativePenDownDuration,NumOfStrokes,Class
1.668484,0.048335,0.170453,2.2855,44.86516,2.590568,0.37162,5.667885,1.42459,1.363908,0.825754,9.615385,1
1.587226,0.053059,0.50658,6.434521,113.8885,4.932154,0.592277,8.337524,2.54027,13.68564,0.483104,90.0,0
1.586449,0.043717,0.198615,3.035408,33.44581,2.051128,0.42011,4.635633,2.38717,2.952817,0.6794,14.08333,0
1.612768,0.04849,0.242985,1.743862,89.80457,3.678315,0.472664,8.073969,1.96422,6.817038,0.525116,45.0,1
1.747126,0.058223,0.439263,3.483085,298.2053,6.656773,0.585984,7.256577,2.9767,15.53866,0.433972,60.0,1
1.416645,0.057712,0.234069,1.79945,36.82249,1.995649,0.352174,8.29942,5.93874,11.86694,0.556185,40.0,1
1.475694,0.063064,0.360042,6.377888,93.9294,2.47185,0.373061,7.933567,3.03384,16.14703,0.550082,66.0,0
1.399888,0.067163,0.172344,1.999669,49.81703,1.746634,0.310746,6.836395,2.91901,10.48347,0.779895,39.0,0
1.601867,0.051366,0.567542,3.678859,84.74072,3.966474,0.539279,8.434652,2.63363,7.751759,0.481495,58.0,1
1.826354,0.073109,0.290995,3.286657,361.0965,1.473479,0.279392,8.271284,2.0501,8.285161,0.651284,49.0,0
1.534726,0.053903,0.1553,2.778277,73.64607,2.411203,0.255451,7.489109,1.00193,4.883214,0.635205,44.0,1
1.75542,0.043174,0.165367,2.263114,77.94831,4.033934,0.556077,6.586593,3.13446,2.140693,0.839407,7.571429,1
1.835971,0.068575,0.294783,1.3886,51.93991,2.927803,0.494635,7.752646,1.86755,2.105208,0.799631,13.0,1
1.486071,0.066234,0.285428,7.21061,41.18551,1.809341,0.283362,8.790972,2.72737,17.56515,0.744526,87.0,1
1.522669,0.068912,0.318297,6.543503,36.35384,2.06738,0.436005,8.938733,2.0831,16.79661,0.702849,75.0,1
