AbsoluteSize,AverageNormalizedJerkPerTrial,NumOfStrokes,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,Slant,PeakVerticalAcceleration,Score,Segment,LoopSurface,RelativeInitialSlant,Class
0.339069,62.41464,9.615385,0.734675,0.368762,0.825754,1.668484,44.86516,3.0,0.0,0.010862,0.734675,1
0.648863,312.0893,90.0,0.711793,0.448674,0.483104,1.587226,113.8885,3.0,0.0,0.038667,0.711793,0
0.400917,128.7172,14.08333,1.042708,0.4206,0.6794,1.586449,33.44581,3.5,0.0,0.020612,1.042708,0
0.433422,208.0836,45.0,0.590038,0.48566,0.525116,1.612768,89.80457,3.0,23.0,0.043011,0.590038,1
0.591477,424.888,60.0,0.758366,0.466288,0.433972,1.747126,298.2053,2.5,30.5,0.045699,0.758366,1
0.3438,1587.362,40.0,0.797261,0.41191,0.556185,1.416645,36.82249,3.0,20.5,0.010805,0.797261,1
0.420853,351.2783,66.0,0.872888,0.433061,0.550082,1.475694,93.9294,2.5,33.5,0.017089,0.872888,0
0.319685,367.1173,39.0,0.779934,0.411954,0.779895,1.399888,49.81703,2.5,20.0,0.008259,0.779934,0
0.629834,222.0096,58.0,0.600671,0.447107,0.481495,1.601867,84.74072,4.0,29.5,0.028157,0.600671,1
0.309384,92.6638,49.0,0.589056,0.420416,0.651284,1.826354,361.0965,3.0,25.0,0.011003,0.589056,0
0.257684,44.2512,44.0,0.446249,0.462057,0.635205,1.534726,73.64607,4.0,22.5,0.006453,0.446249,1
0.429286,746.7309,7.571429,1.037608,0.52335,0.839407,1.75542,77.94831,2.678571,4.285714,0.033756,1.037608,1
0.475462,81.5213,13.0,0.84797,0.530446,0.799631,1.835971,51.93991,3.0,7.0,0.000305,0.84797,1
0.326413,509.1904,87.0,0.741696,0.450915,0.744526,1.486071,41.18551,3.0,44.0,0.015945,0.741696,1
0.468557,181.6577,75.0,0.865704,0.466563,0.702849,1.522669,36.35384,3.0,38.0,0.022093,0.865704,1
0.373614,100.8454,42.0,0.662687,0.450969,0.667179,1.516611,56.75645,3.5,21.5,0.026831,0.662687,1
0.433951,257.8895,70.0,0.688846,0.439291,0.659474,1.596293,57.16163,3.0,35.5,0.014401,0.688846,1
0.267835294,128.7206,51.0,0.571191836,0.440633333,0.633460784,1.732235594,32.84232686,3.5,26.0,0.00652531,0.571191836,0
0.72715,527.1703,20.0,0.932925643,0.47397,0.65731,1.57757195,247.8571465,3.0,10.5,0.168298464,0.932925643,1
0.379194444,91.2357,36.0,0.896012261,0.466113889,0.723194444,1.533003437,65.02634065,2.0,18.5,0.01433259,0.896012261,1
0.29615,8440.152,8.0,0.672831727,0.3970875,0.8110375,1.264309819,38.32674934,2.5,4.5,0.011844461,0.672831727,0
0.24930303,114.2644,33.0,0.751558834,0.453412121,0.670739394,1.717389786,24.54507745,3.0,17.0,0.003539656,0.751558834,1
0.398342857,1233.838,56.0,0.714745695,0.467108929,0.792942857,1.398854805,37.80135756,2.0,28.5,0.004954586,0.714745695,1
0.376497436,12587.54,39.0,0.687146126,0.459630769,0.656258974,1.487651773,60.40857114,2.0,20.0,0.019365865,0.687146126,0
0.520172727,69.2428,11.0,0.879516386,0.488327273,0.792881818,1.516131627,48.9276744,3.5,6.0,0.045704452,0.879516386,0
0.274101852,252.1186,54.0,0.948979529,0.486627778,0.614955556,1.718224515,211.8827388,2.5,27.5,0.009248471,0.948979529,1
0.66589718,66.94689155,49.76056338,0.638545312,0.44405493,0.673498592,1.561311,96.2786651,3.0,25.38028,0.03639419,0.638545312,1
0.19696842,86.3891,19.0,0.561004917,0.443015789,0.441526316,1.897273,21.57654363,3.0,46.5,0.01643602,0.561004917,1
0.30292941,83.216,17.0,0.716652808,0.447876471,0.5201,1.736334,40.03804035,3.0,0.0,0.00201211,0.716652808,1
0.4539,54.7738,33.0,0.605475481,0.439793939,0.664290909,1.432725,66.96052185,3.0,18.56803838,0.02483754,0.605475481,1
0.43283333,95.613,12.0,0.609631998,0.38755,0.320075,1.872207,68.85505724,2.5,18.25792814,0.02351029,0.609631998,0
0.51851081,92.0105,37.0,0.784078168,0.460335135,0.554683784,1.609734,86.80948351,3.0,17.9478179,0.04004928,0.784078168,1
0.27246154,81.8638,91.0,0.647031403,0.43338022,0.669192308,1.524984,142.6792385,3.0,17.63770766,0.00690446,0.647031403,1
0.30755,63.1276,82.0,0.524516071,0.449613415,0.710443902,1.475176,51.14623329,3.5,17.32759741,0.00637655,0.524516071,1
0.34043441,246.7672,93.0,0.717126234,0.449274194,0.579173118,1.562788,53.74271806,3.0,17.01748717,0.01640376,0.717126234,1
0.35580283,245.2464,106.0,0.526974358,0.464990566,0.687087736,1.546612,79.79164686,2.0,16.70737693,0.01107907,0.526974358,1
0.33254944,73.5851,89.0,0.611833753,0.476762921,0.653382022,1.576779,52.08885277,3.0,16.39726669,0.01264401,0.611833753,1
0.32046129,104.2958,93.0,0.695978063,0.450041935,0.768849462,1.66661,35.90577689,3.0,16.08715644,0.00969666,0.695978063,1
0.34934096,588.5376,83.0,0.703870466,0.444919277,0.689366265,1.540889,46.83093874,3.5,15.7770462,0.02955617,0.703870466,0
0.753586,168.7865,50.0,0.630966,0.451258,0.725278,1.553791,100.7931,3.0,15.46693596,0.098521,0.630966,0
0.810345,42.3824,11.0,0.338119,0.465027,0.701791,1.371862,161.463,2.5,15.15682572,0.051877,0.338119,0
0.747475,45.727,20.0,0.461882,0.44802,0.670065,1.622814,132.9331,2.5,14.84671547,0.042075,0.461882,1
0.796373,139.5882,62.0,0.54476,0.437447,0.597419,1.597857,175.3323,3.0,14.53660523,0.07724,0.54476,1
0.708107,259.7487,45.0,0.674868,0.436524,0.364609,1.59031,1263.638,3.5,14.22649499,0.026419,0.674868,1
1.009608,186.8897,12.0,1.074335,0.412383,0.540708,1.47086,121.8852,3.0,13.91638474,0.26139,1.074335,1
1.011319,82.0143,42.0,0.554497,0.434893,0.688631,1.486898,2180.301,2.5,13.6062745,0.093733,0.554497,1
1.1892,52.2302,10.0,0.738219,0.41543,0.8898,1.49585,132.0615,3.0,13.29616426,0.049486,0.738219,1
1.041191,67.2946,68.0,0.613062,0.444493,0.618719,1.660559,260.6156,3.5,12.98605402,0.120412,0.613062,0
1.009154,70.4682,59.0,0.594474,0.457539,0.671331,1.55738,159.8911,3.0,12.67594377,0.061292,0.594474,1
0.651743,180.6423,7.0,0.750674,0.458629,0.214657,1.759429,122.4181,2.0,12.36583353,0.068777,0.750674,1
0.861338,38.3828,8.0,0.714094,0.462625,0.83835,1.407749,106.6702,3.0,12.05572329,0.035432,0.714094,1
0.904668,89.0296,34.0,0.578804,0.447535,0.765559,1.526476,154.0717,3.0,11.74561305,0.05658,0.578804,1
1.107742,185.4545,31.0,0.858327,0.553345,0.542071,1.423004,84.77907,3.0,11.4355028,0.019988,0.858327,1
0.937148,315.4543,58.0,0.658404,0.517059,0.489945,1.51013,337.3545,3.0,47.5,0.067049,0.658404,1
0.64612,183.1497,10.0,1.13811335,0.41931,0.84473,1.456296,106.7858093,3.0,0.0,0.0863531,1.13811335,1
0.77127,40.2552,10.0,0.345410228,0.42228,0.78285,1.636947,133.8717703,3.5,11.12539256,9.49e-05,0.345410228,1
0.9355,54.6784,4.0,0.671572647,0.527925,0.684,1.411505,110.5772662,3.5,10.81528232,0.00835,0.671572647,0
0.84726364,134.8527,11.0,0.898126025,0.402409091,0.645509091,1.525363,93.18457116,3.0,10.50517208,0.08451542,0.898126025,1
1.17261731,104.6299,52.0,0.681131865,0.432630769,0.549978846,1.543404,132.1372812,3.0,10.19506183,0.11057838,0.681131865,1
0.84357885,185.4544,52.0,0.546088037,0.479084615,0.624888462,1.480347,444.4309998,3.5,9.884951591,0.05668649,0.546088037,1
0.72736667,92.5837,9.0,0.640354793,0.413377778,0.728255556,1.331208,67.11094282,3.0,9.574841348,0.02312585,0.640354793,1
0.8752,212.3729,9.0,0.659517811,0.4371,0.796055556,1.6003,133.1955142,3.0,9.264731106,0.09485644,0.659517811,0
0.7156,121.4403,9.0,0.947192444,0.347422222,0.826877778,1.752905,83.9060419,2.5,8.954620863,0.06227761,0.947192444,1
0.83692963,459.5119,27.0,0.707696508,0.406644444,0.625092593,1.520337,118.8492783,3.5,8.644510621,0.03460372,0.707696508,1
