StraightnessError,PeakVerticalAcceleration,RelativeTimeToPeakVerticalVelocity,Duration,VerticalSize,LoopSurface,RelativeDurationofPrimary,Segment,Slant,StartTime,RelativePenDownDuration,HorizontalSize,Class
0.048335,44.86516,0.368762,1.42459,0.37162,0.010862,0,0.0,1.668484,1.363908,0.825754,0.170453,1
0.053059,113.8885,0.448674,2.54027,0.592277,0.038667,0,0.0,1.587226,13.68564,0.483104,0.50658,0
0.043717,33.44581,0.4206,2.38717,0.42011,0.020612,0,0.0,1.586449,2.952817,0.6794,0.198615,0
0.04849,89.80457,0.48566,1.96422,0.472664,0.043011,0,23.0,1.612768,6.817038,0.525116,0.242985,1
0.058223,298.2053,0.466288,2.9767,0.585984,0.045699,0,30.5,1.747126,15.53866,0.433972,0.439263,1
0.057712,36.82249,0.41191,5.93874,0.352174,0.010805,0,20.5,1.416645,11.86694,0.556185,0.234069,1
0.063064,93.9294,0.433061,3.03384,0.373061,0.017089,0,33.5,1.475694,16.14703,0.550082,0.360042,0
0.067163,49.81703,0.411954,2.91901,0.310746,0.008259,0,20.0,1.399888,10.48347,0.779895,0.172344,0
0.051366,84.74072,0.447107,2.63363,0.539279,0.028157,0,29.5,1.601867,7.751759,0.481495,0.567542,1
0.073109,361.0965,0.420416,2.0501,0.279392,0.011003,0,25.0,1.826354,8.285161,0.651284,0.290995,0
0.053903,73.64607,0.462057,1.00193,0.255451,0.006453,0,22.5,1.534726,4.883214,0.635205,0.1553,1
0.043174,77.94831,0.52335,3.13446,0.556077,0.033756,0,4.285714,1.75542,2.140693,0.839407,0.165367,1
0.068575,51.93991,0.530446,1.86755,0.494635,0.000305,0,7.0,1.835971,2.105208,0.799631,0.294783,1
0.066234,41.18551,0.450915,2.72737,0.283362,0.015945,0,44.0,1.486071,17.56515,0.744526,0.285428,1
0.068912,36.35384,0.466563,2.0831,0.436005,0.022093,0,38.0,1.522669,16.79661,0.702849,0.318297,1
0.056753,56.75645,0.450969,1.94383,0.346612,0.026831,0,21.5,1.516611,6.053688,0.667179,0.250528,1
0.101155,57.16163,0.439291,2.55903,0.39868,0.014401,0,35.5,1.596293,14.72317,0.659474,0.399953,1
0.067831601,32.84232686,0.440633333,1.66711996,0.260104192,0.00652531,0,26.0,1.732235594,6.912912,0.633460784,0.203397749,0
0.065012999,247.8571465,0.47397,3.27873409,0.996767925,0.168298464,0,10.5,1.57757195,4.638985,0.65731,0.370093108,1
0.052782903,65.02634065,0.466113889,1.24343728,0.376448669,0.01433259,0,18.5,1.533003437,4.487072,0.723194444,0.2088774,1
0.031432737,38.32674934,0.3970875,1.573244192,0.326806871,0.011844461,0,4.5,1.264309819,5.791525,0.8110375,0.100540318,0
0.058136716,24.54507745,0.453412121,1.52559482,0.225456613,0.003539656,0,17.0,1.717389786,5.172661,0.670739394,0.245924522,1
0.049308307,37.80135756,0.467108929,6.9885655,0.39675224,0.004954586,0,28.5,1.398854805,13.93649,0.792942857,0.236185072,1
0.056671811,60.40857114,0.459630769,7.01666993,0.387061086,0.019365865,0,20.0,1.487651773,11.88009,0.656258974,0.222370291,0
0.041166279,48.9276744,0.488327273,1.33417385,0.586946117,0.045704452,0,6.0,1.516131627,1.708327,0.792881818,0.159870357,0
0.073571259,211.8827388,0.486627778,2.10700648,0.261394528,0.009248471,0,27.5,1.718224515,6.939596,0.614955556,0.200654693,1
0.04877132,96.2786651,0.44405493,1.60965,0.7454612,0.03639419,0,25.38028,1.561311,5.560663,0.673498592,0.355343997,1
0.047746249,21.57654363,0.443015789,1.95377,0.22486988,0.01643602,0,46.5,1.897273,2.657605,0.441526316,0.160625155,1
0.059742281,40.03804035,0.447876471,1.72986,0.29154143,0.00201211,0,0.0,1.736334,1.820682,0.5201,0.213597088,1
0.052793705,66.96052185,0.439793939,1.3761,0.50948456,0.02483754,0,18.56803838,1.432725,4.633509,0.664290909,0.159068463,1
